Sentence1,Sentence2
,
Does this website provide consistent translation into Wookiee?,Was the Wookiee language fully designed or is it just random emotionally-relevant sounds?
,
Between Infinity War and Endgame did victims of the snap age?,Why do these characters still seem to be the same age after the events of Endgame?
,
SciFi novel concerning future (this year) and music broadcast from star system,"Book about two alien castes, alien hand modification"
,
Short story: man frozen in time seen as a monster,Time traveling astronaut appearing frozen to observers in time travel accident
,
How did Shelob stab Frodo through his mithril shirt?,Why did the Mithril coat fail to stop Shelob's sting?
,
State of canon for Star Wars: Masters of Teräs Käsi,How is canonicity of derivative works determined for Star Wars?
,
Have any Marvel heroes been drawn differently to match their MCU equivalents?,Do comic characters sometimes get drawn like the actor playing them?
,
Live Action English Language show about a virtual world with an human-appearing girl who tastes orange juice through her fingertips?,Live action TV show where High school Kids go into the virtual world and have to clear levels
,
"What's the meaning of the raised finger in ""Avengers: Endgame""?",Wasn't Strange tempting fate by telling Stark this?
,
Why did the house-elves fight without magic?,Why did the House-elves use weapons at the battle of Hogwarts
,
"In the Movie Looper, how does this happen?",Doesn't the end of Looper create a time paradox?
,
Story about person fighting aliens in exoskeleton before joining them,Looking for a book about a crystal like prison planet
,
Is Daenerys's decision in Kings Landing consistent with her character arc?,Why did Dany decide to torch King's Landing after the bells were rung?
,
"Why did Ser Gregor do this in Season 8 Episode 5, ""The Bells""?",Why did Gregor Clegane do that in Game of Thrones S8E5?
,
Short story with mechanical ecology on future Earth,Need help recalling name of sci-if story about earth evolving into electronic life forms
,
Short story about nuclear war and a rock band?,60s short story where band gives concert ending with a nuke detonation
,
What is the ship shown just before the Enterprise in the ST: Enterprise opening credits?,What's that ship in the opening credits of 'Star Trek: Enterprise'?
,
"Story about a space war, and a human prisoner of war captured by alien enemy",Book about attack by aliens that decimate entire human fleet and take a single prisoner
,
How is the feather from the trailer related to what has happened so far in the episodes that have aired?,Where does the feather come from in the trailer for Game of Thrones S8?
,
Where is Ilyn Payne and why is he not dead?,Why does Arya not mention Ilyn Payne in her list?
,
"Anime: boy spawns down monsters, including a floating eyeball, is saved by an adult from drowning when diving to look for a boat","Anime with a boy hiring a creature from a stone, meets a man named Dante and starts a journey to collect crystals"
,
What does this symbol mean in Game Of Thrones?,What was the meaning of the Night King's message?
,
Why didn't the ministry of magic call for help from foreign counterparts?,Why did international wizards not come to help against Voldemort?
,
Why this character is punished instead of being honoured?,Why did the most important lords want this character freed?
,
Why did the lords and ladies easily believe that Bran has powers?,"Why isn't everyone flabbergasted about Bran's ""gift""?"
,
Why didn't the Avengers just cut off the hand of Thanos instead of trying to take the Infinity Gauntlet off?,Why doesn't Doctor Strange remove the Infinity Gauntlet from Thanos?
,
What is Agent Coulson's status as of the end of Endgame?,Why aren't MCU movies featuring Coulson after Avengers?
,
What is this young adult book series?,"Teens stranded in eco-system within alien ship, fighting for survival"
,
What is Agent Coulson's status as of the end of Endgame?,Why aren't MCU movies featuring Coulson after Avengers?
,
Identify science-fiction short story where superintelligent test subjects fight with sense-based mental programming,Trying to identify a short story about a Man who becomes a genius due to a US government lab experiment
,
"Interstellar war using transfer booths, novella length",70s/80s Sci-Fi book with teleport gates on sub-light spacecraft and an army space suit
,
Did Ariana Dumbledore's portrait dig the tunnel to Hogwarts?,Who created the tunnel between the Room of Requirement and Hogsmeade?
,
"Low budget, 70s look, about aliens wearing tunics and old vessels sailing the desert",Young boy living on Mars discovers that his parents are robots
,
Story about an alien baby that has to get to its spaceship before it dies,Short story where time is accelerated and characters have to get back to ship?
,
YA book with twins and a time machine,"A book with two twins and a difficult relation, a room where time flows slower than the outside and a mysterious monster coming from a sink"
,
Cant remember the author or title sci fi space portal planet colonization,Book ID: Astronauts and Lab Students can create portals through space
,
2000s (or earlier) book/series set in a future where spacefaring people have magic powers granted by elemental symbiotic crystals,Book where wizards learn magic by bonding with crystals that imbue them with powers
,
Sci fi novel about a modern warship that goes back in time,R.A. Lafferty? Story about ship going back in time
,
Why did Sansa need the hair net?,Why was the plan for the Purple Wedding so complicated?
,
How was Neville Longbottom qualified to be the Chosen One?,Why do only Harry and Neville fit the prophecy out of all wizards?
,
Book about future where they use honey instead of money?,"Need help with a book title - something like ""Sting"""
,
Kids space travel series featuring 'The Great Ta',"And now, for something completely different: The mushrooms are among us"
,
Why does computer data get destroyed when it gets downloaded?,Why are downloads destructive in the Star Trek universe?
,
"Sci-fi book with a scientist discovers and goes to an alternate reality, where items improve with use",A gateway to a new world/future where things can be improved with use
,
Need help finding the name of a trilogy,Book where wizards learn magic by bonding with crystals that imbue them with powers
,
"(70s, or 80s Novel) Man with intelligent robotic legs (from the waist down)",Book about a man who's cut in half & placed in suspended animation
,
Short Story about Fog/Mist (Not Stephen King or John Carpenter),Telegrams from Unknown City that Gets Destroyed by Mist
,
What's reason behind the assassination of John Boone in KSR's Red Mars?,"In Red Mars, why did Frank want to kill John?"
,
TV cartoon show about a virtual world,What TV show has kids entering a video game of some sort?
,
So what was the secret behind the stainless steel of Doc's Delorean?,Why did Doc Brown choose the Delorean DMC-12 as his first time traveling vehicle?
,
Story where Earth is saved by sending nuclear bomb to alien race controlling it,Movie where Earth is conquered and humanity are cavemen slaves
,
What does it mean that a Wizard is more powerful than another?,What determines the power of a wizard in Harry Potter's world?
,
Animated children's series where the 'baddies' were short and had Darth Vader-like helmets,Identify an animated childrens TV show from the 1980s about a girl sent to another planet
,
What’s the limit we have seen of Hulk's strength?,Is there an upper limit to the Hulk’s strength?
,
Harry was bitten by a Basilisk - how is he still a Horcrux?,Why didn't the basilisk bite in Chamber of Secrets destroy the Horcrux?
,
Monsters would turn into stone/crystals when captured,"Anime with gems that can summon beasts to fight for the user, one is a purple turtle"
,
60's short story where siblings find in mechanical toy that emits light,Story about earth children playing with alien toys. Who wrote it?
,
Identify Book: Boy Taken as Apprentice by Wizard in a City Taken Over After Queen is Assassinated,A series about the Seventh son of a seventh son and a bullet that will always find its mark
,
How did Sally from Oblivion destroy the Moon,How did the Tet destroy Earth's moon?
,
Why doesn't the 29th century Starfleet intervene when Janeway travels back in time at the end of Voyager?,Why didn't the time cops try to stop Janeway when she traveled back in time to rescue Voyager?
,
Novel where government trains kids for the army through a VR game,Sci-fi book about a male entering a competition that he wins and gets recruited by millitary
,
Seeking short story about the last of a species of thousand foot trees,"Huge tree, last of kind, being cut down. Logger meets female tree-spirit who is dying as her tree is cut down"
,
"In 'The Hitchhikers Guide to the Galaxy' radio series, which parts of the Secondary Phase are not real?","In the radio series, how did Zaphod get into the artificial universe?"
,
"In Harry Potter, do magical people refer to themselves as ""magicians""?","Has the word ""magician"" been used in the Harry Potter canon?"
,
How is it possible that this coat-hanger lifts Thor's hammer?,Thor's hammer left in a elevator...could I move it?
,
Trying to find name of fantasy book with characters possibly called Max and Daniel,"YA novel series involving ""magical"" student warrior"
,
Can a wizard or a witch use two wands at the same time?,Can a wizard use more than one wand?
,
Late 80's early 90's sci-fi choose your own adventure,"Children’s books, one in space setting, the other in a jungle"
,
Why does Newt Scamander travel to New York on a ship?,Why did Newt need to cross the Atlantic by steamer?
,
Why was Cassian ordered to kill this person?,Why did this character continue to want Galen Erso dead?
,
What is the functional use of stormtrooper armor?,What was the point of the stormtroopers' armour?
,
Identify an SF short - humanity alone in universe.,Lester del Rey short story about the last Earth starship returning
,
Can a Basilisk control whether or not its gaze will kill?,Can the Basilisk's petrifying power be 'turned off'?
,
German tv-seriers about paranoid man believing he is not in the real world,Can you name this sci fi film that is similar to The Matrix?
,
"Did we see Daniel, the cylon John murdered, in ""Someone to Watch Over Me""?",Who was the piano player that Starbuck met in the bar on Galactica?
,
Old series of SciFi adventure puzzle picture books,"Children’s books, one in space setting, the other in a jungle"
,
Has JK Rowling ever commented on whether logical inconsistencies in her world are deliberate allegories?,Did J.K Rowling ever explicitly talk about the allegorical nature of the Potter series?
,
Old Animated sci-fi film - late 70s,Help identify a 90's sci-fi cartoon - main character with a name from greek mythology(?)
,
Looking for a book about small wormholes used for viewing other places/times,SciFi book where scientists learn to peek through time (possibly controlled miniature wormhole?). Computer screens were carried like a handkerchief
,
Did Hagrid Disapparate in The Philosopher's Stone?,How did Hagrid vanish into thin air?
,
"Short story about an atheist dying, being resurrected by God in heaven to perform a mission",Title of short story: God granting immortality to others to find a way to kill himself
,
Did the form of address of female officers and crew of Startrek change over the years?,"What's the origin of referring to female superior officers as ""sir""?"
,
When did Dumbledore know Harry was going to die?,Did Dumbledore know that Harry would have to sacrifice himself from the very beginning?
,
Is there evidence which supports the existence of gunpowder in Middle-earth?,Why wasn't gunpowder more common in Middle Earth?
,
"Was Darth Sidious's ""Force Scream"" the reason the other masters died so quickly?",Why or how did Agen Kolar and Saesee Tiin seem to die so easily without any resistance?
,
Would a Nazgûl in possession of the One Ring seek to use it?,"If one of the Ring-wraiths found the One Ring, shouldn't they be able to break free from Sauron's control?"
,
Why do they still use gold dragons as the currency in Westeros?,"What is the historical origin of a ""Silver Stag""? Why do Golden dragons remain in circulation after Robert's Rebellion?"
,
"Can a muggle use magical objects (potion, time-turner, etc)?",Can magic be used to transform a muggle into a witch/wizard? (HP universe)
,
How does R2-D2 not remember Yoda or Dagobah,Why does R2-D2 try to electrocute Yoda?
,
"After the events of the final episode of *Game of Thrones*, who rules Casterly Rock now?",Who is now the Lord of Casterly Rock?
,
Novel about non modular aliens who die young,"Looking for book: contact with aliens, five different races, mismatched claws, biological imperative to breed"
,
Why did they never point the Borg towards Organia or a Douwd?,Where were the advanced species and civilizations of ST:TOS during the war against the Borg?
,
Won't the absence of Infinity Stones affect the main timeline?,"Post Endgame, how is the flow of time different?"
,
Why did the Sanctuary II focus its attack on Captain Marvel?,Who was in operational command of Thanos's ship?
,
"Sci fi humor/adventure book with people renting bodies in an intergalactic cruise ship, main character gets an assassin's body","Book: Brain swapping, alien conspiracy, space cruise"
,
Do we know why the Night's Watch has diminished so much?,Why is the Night's Watch so depleted at the start of ASOIAF?
,
Cartoon show that was about magic stones and fighting with monsters,"Anime with gems that can summon beasts to fight for the user, one is a purple turtle"
,
What time-related powers has Dr. Strange demonstrated in the comics?,Has Doctor Strange ever traveled in time without the use of the Infinity Stone?
,
How exactly did Voldemort look before his Killing Curse rebounded?,"When and what cause Voldemort to look the way he does, vs how we've seen him as a teen?"
,
60s/70s short story: man trapped in lunar cave by military robot,"Robot tank run amok, its trainer trapped in cave on the Moon"
,
How could Sirius buy a broomstick for Harry?,Why Did Gringotts Pay Out for Harry's Firebolt?
,
"After a period of time, would Worf be considered a Dahar Master?",What must a Klingon master do in order to be considered a Dahar Master?
,
Where does a worthy person get Thor's power from?,Does Thor's hammer give power or channel it?
,
80's cartoon/anime with an alien that looks like a sunny side up egg,80s-90s anime (movie or series) in which an armored girl exchanges age with a dying man on a beach
,
"YA novel: siblings from a walled city, whose DNA is spliced with animal DNA",Sci-fi book about a male entering a competition that he wins and gets recruited by millitary
,
"Sci-fi book about future of earth where the land has been submerged, and aliens use it to breed","Earth as Water World, invasion at climax, fought off"
,
"What is a ""balanced"" force, and do the Jedi want it?",Why did the Jedi want to bring balance to the Force?
,
60s or 70s novel about Empire of Man making 1st contact with 1st discovered alien race,"Looking for book: contact with aliens, five different races, mismatched claws, biological imperative to breed"
,
What is the name of Peggy's husband in Captain America: The Winter Soldier?,"In The Winter Soldier, who did Peggy Carter say she married?"
,
Are there any known DC super metals besides Nth?,What are the indestructible materials in DC Universe?
,
Why can't horcruxes in Harry Potter be destroyed by Avada Kedavra?,Could the Horcruxes be destroyed with Avada Kedavra?
,
Movie or tv series in 80s/90s which has a rooster wind vane set in a roof,What 80s BBC kids’ TV show had children fitting together machinery they found in the countryside?
,
"How much are Galleons, Sickles and Knuts worth in the real world?",What are the costs of books and materials in Harry Potter?
,
60's (or earlier) sci-fi short story about two spacecrafts exchanging plants for gold and thinking they got the better of the exchange,Short story about aliens trading for hydroponics
,
Novel in which alien (Martian?) is trapped on Earth in prehistory,Book about ancient Martian astronauts being the root of modern humanity and time travel
,
"Identity novel, short story or book series... slower than light space battles, time dilation and boardings, several planets","Two spacecraft pilots travel at light speed, meet back on Earth in different era due to time dilation"
,
What does Superman do with his regular clothes after changing in the phone booth?,Why didn't the reporters at the Daily Planet figure out Clark Kent was Superman when they kept finding his discarded suits lying around?
,
"At the end of Avengers: Infinity War, what is the live/dead ratio?",How many named characters died in Avengers: Infinity War?
,
Why isn't Tony Stark injured or killed while he repairing Helicarrier rotor?,"Why is Tony Stark in the Iron Man suit unaffected by G-forces, inertia and blunt force trauma?"
,
Recall book series with a young girl who can talk to animals (English with at least 4 books),Series of books; in one there is an island with very tall large pillars
,
Why did Thanos choose the mechanism that he did?,What is Thanos's motivation for his action?
,
Old SF novel in which implanting a dead man's personality into another guy's head is a daily occurrence,"story about ""souls"" of deceased people implanted in other people"
,
"If the Empire can make a shield around the entire planet of Scarif, why not make a shield around the entire moon of Endor?",Why did the Rebel fleet not bombard the Shield Generator on Endor?
,
Looking for a book set on a generationship,Trying to track YA novel - virtual reality simulation aboard an interstellar generation ship
,
How are Animagi’s animals related to the wizards themselves?,Do animagi get to pick their animal?
,
Was the fact that Earth's position is never the same ever addressed in time travel stories?,How does time travel take into account the rotation/revolution of the Earth?
,
Looking for a short story title about an alien that encounters a probe on its own planet,Looking for the title/author of story about snail-like creatures
,
"Story where the atmosphere is incinerated by a hail of micrometeorites. A ""soft rain"" I think","What sci-fi novel has the moon split into 7 pieces by an asteroid, threatening life on earth?"
,
Short film about a planet where people age very quickly,Searching for title of movie about rapid aging
,
Short story where aliens are observing humans then attack,Short sci-fi story: aliens regret setting Earth's destruction in motion
,
Did the event in Infinity War affect animals?,Does Thanos' plan apply to higher order beings?
,
Can muggles cross through the barrier at kings cross?,Can a Muggle get through to Platform 9 & 3/4?
,
"How old was Tom Riddle when he made each Horcrux, and who did he kill to make them?",What order were Lord Voldemort's horcruxes made in?
,
How does Hogwarts find candidates to attend?,How does the Hogwarts Headmaster know whom to invite to school?
,
Cartoon with magical gauntlets and underwater city,Cartoon with a boy that has a red rhino monster and chases and fights other monsters
,
Does it matter in which space the Stones are placed?,Is there a specific order to the Infinity Stones?
,
A movie where coffee acts like alcohol on aliens,"Please help identify this 2-part TV movie: Alien woman crash-lands on earth, falls in love, 199x"
,
"On what calendar are annual celebrations (holidays, birthdays) celebrated in the Star Trek Universe?",Are there any public holidays in the 24th century?
,
Identify a book about an exploratory mission + alien pet + topaz maybe?,"Someone sent to rescue brother, find out what happened to him?"
,
"Short story or novella about an extrasolar planet that develops intelligence, sends comet-like probes towards Earth?",Arthur C. Clarke story about a matrioshka brain
,
"man in asylum insists everyone is conspiring against him; ""the one they call mother"" says he's just paranoid",Short story where rain only on one side of the house gives away fake world?
,
"A big man is assumed to be fat, until he takes shirt off. This happens on a remote planet",Trying to find a book about kids with 'sunguns' revolting against alien overlords
,
Help identifying this animation about a locked-down city overtaken by androids,Cartoon movie where the main character had a robotic arm
,
"2000s (or earlier) anime movie with a mech powered by holy men, and a bad guy killing his family while pretending to be an idiot",Looking for Anime with a prince faking being mentally handicapped hiding a giant mech suit wreaking havoc
,
Did the Dark Lord invent the Unforgivable curses?,What Is the History of the Unforgivable Curses?
,
20th century earth is conquered by a race of felinoids,SF Short Story: alien apes invade during nuclear war
,
Why was Loki affected by the bullets in this scene?,Can Asgardians deflect human weaponry or is it their weapons and technology that protects them?
,
"In Harry Potter, do ghosts ""live"" forever?",Could ghosts in Harry Potter move on?
,
Looking for a pre-1975 short story about a space ship carrying male and female clones,Two normal humans interact with a team of clones
,
Was Kyle Reese the original father of John Conner,How was Skynet created in the original timeline?
,
Why didn't Ben take Luke to Degobah when he was much younger?,Why didn't Kenobi start training Luke earlier?
,
"Who cares if it takes 1,000 years for Sarlacc to digest you?",How does a sarlacc gain any energy if it keeps victims alive for a thousand years?
,
Are there any other tools wizards can use as they would a wand?,Are there any spells that a wizard/witch can cast without a wand in the Harry Potter universe?
,
Book series about colonization and migration into space,A man wakes up from stasis alone on a spaceship then creates the greatest story in history
,
Sci Fi book about the last pure blood Terran,Looking for story - post human galactic civilization
,
"Fantasy book, main character called Spyder, a tattooist, meets a girl, ends up in a fantasy place","Book - tattoo artist summons demon, saved by blind lady with sword"
,
Short story about a place where lost things are?,Short story where people can swap minds with others
,
The effect on Nazgul as couriers of the One Ring,"If one of the Ring-wraiths found the One Ring, shouldn't they be able to break free from Sauron's control?"
,
Why didn't the Hobbits receive any magic rings?,"Why are there rings for Dwarves and Elves and Men, but not Hobbits or Orcs?"
,
What does Disney consider to be Star Wars canon?,How is canonicity of derivative works determined for Star Wars?
,
Did Harry ever have classes with Ravenclaws?,What Hogwarts classes are taught to two houses at once?
,
Do the Dursleys use owl mail service?,How do muggles communicate with their magical children when they're at Hogwarts?
,
"Series read back in late 1900s: aliens with two life stages, one electronic",Book about attack by aliens that decimate entire human fleet and take a single prisoner
,
Is it possible to remove a soul from a Horcrux?,Is it possible to reintegrate a Horcrux?
,
Was Albus Dumbledore actually testing Harry in Book 1?,"In Harry's first year, did Professor Dumbledore deliberately give him a chance to face the Dark Lord?"
,
SciFi book about two alien races fighting over Earth,Earth occupation/invasion book I read in the 90s
,
Identify movie about spaceship crew exercising with 'gravity body patches',What is this Disney scifi movie from the late 80s/early 90s?
,
Did Vader know Luke was continuing to talk to Obi-Wan after he was killed?,How did Vader know that Obi-Wan was helping Luke?
,
"Short story - three kids, one wish each","Identify short story from Year's Best Science Fiction, where school friends descend an ancient stairway into a deep ravine looking for adventure"
,
Why didn't Leia immediately return to her father on Alderaan as soon as she obtained the Death Star plans?,Why doesn't Princess Leia go straight to Yavin IV?
,
"A dictator tries to escape war by suspended animation, but travels too long, killed by maroonee","Story about last 2 men on Earth. One very evil, and the other very ethical"
,
Story about hunting giant lizards for hides on privately owned planet,Story ID - Man forced to hunt to pay off debts
,
Why does Dumbledore die in a way that portrays him as weak?,Why did Albus Dumbledore put Marvolo Gaunt's ring on?
,
"90's sci-fi book series, humanity is attacked by aliens, point of view switches between the humans' and the aliens' between books",Book about attack by aliens that decimate entire human fleet and take a single prisoner
,
Are there lower class men in The Handmaid's Tale who are not law enforcement/military?,How many different classifications of people are there in The Handmaid’s Tale?
,
Why are Kylo Ren and Rey evenly matched in Force pulling in TLJ?,How could Kylo Ren move Luke's lightsaber in The Last Jedi when he couldn't in The Force Awakens?
,
How was the Doctor able to reach into the 'crack in time' without being erased?,"The Cracks in the Universe: Why are they lethal to some, but not to others?"
,
Book series with college students finding a way to open portals to other planets,Book ID: Astronauts and Lab Students can create portals through space
,
Published in OMNI? Story about a bacteria that becomes sentient,Short story where a man owns creatures that build statues of him
,
"Sci-fi book (no magic, hyperspace jumps, blind protagonist)",name and author of story about man who escapes by uncontrolled jump into hyperspace
,
"Protagonist attempts to destroy global administration computer, but instead is invited to join programming team",Book with boy with one different colored eye
,
Who was the orc who wanted to leave Mordor and have his own band of brigands?,Is there a passage in Lord of the Rings told from the perspective of an orc?
,
Did anyone on the Avenger's side die on screen during the last battle of the Endgame?,What is the casualty count from the final battle in Avengers: Endgame?
,
Sci fi short story name about cyborg time traveling soldier,Need help identifying short story about retired military colonel who fought war at end of time
,
Looking for title of sci-fi story/book: About space travel and finding dead relatives on a planet?,"Astronauts land on planet, met by aliens impersonating their deceased relatives"
,
"A book about cloning, sentient ship and others","Looking for a novel with a ship crewed only by children, on a return trip in space to re-populate Earth when they return"
,
Book/series describing the evolution of religious practices - Christian/Muslim to Sun Worship,Sci-fi series where humans are reduced to a mathematical pattern and sent to another planet
,
Short story about a man who has duplicates of himself appear behind him,Man is sitting in his room and gets contradictory advice from two men from the future
,
Urban fantasy. A chase that lasts a hundred years. Printing machine,"Manhattan, time traveling mist wall, a flying white horse and a bridge of light to heaven"
,
YA fantasy about a girl being turned into a book by a magician,"Magic leaves ""smudges"" and a sorceress becomes a book"
,
Fantasy novel where guy fights with a cloak on his back,"Looking for title and author: fantasy, shapeshifting thief, sorceress"
,
How many shuttlecraft were lost over the course of Star Trek:Voyager?,"How many shuttles does Voyager have, not including The Delta Flyer"
,
Sci-fi novel where genius orphans are recruited via a puzzle game and taken to a lab,Book ID: Boy plays a video game and has to to solve different tasks (the last being a maze that's an IQ test)
,
Why did Nazgul spare the other hobbits at Weathertop?,Why did the Nazgûl not attack a second time at Weathertop?
,
"70-year old short story about thinking way into another dimension, parallel universe",Short story where a character moves through dimensions via mental exercises
,
Was the birth of Daenerys' dragons due to these previous events or are they unrelated?,Why are there no other dragons in ASOIAF?
,
Novels with characters that gain power from stones imbued in their backs,"Can anyone identify this 90s teen-fantasy series, gems in backbone, big magic, evil king?"
,
Fantasy book set on a desert world with the protagonist mind-melding with a cat,A book where a man inhabits the body of a dying man and befriends a telepathic cat
,
Story Identification: Short story about a man waking up and realizing he has an API to his body,"Short Story-Experiment to hack metabolism via implant, patient escapes using keyboard to hack himself"
,
Short sci-fi story involving a metal bar and a wormhole,Short story about a hole to another universe that pulls in metal
,
Science fiction short story where explorers land on planet inhabited by humanoids who eat algae,Planet where humans fight for access to algae
,
What is the correct timeline for Captain America: Civil War and Guardians of the Galaxy: Vol. 2?,Given the supposed time-line of GOTG Vol.2 why did Stan Lee claim to have been a Fed-Ex man?
,
How did people know that Varys is a eunuch?,Do eunuchs have something distinctive so people can tell them apart?
,
How did the Veil end up in the Ministry?,"Who created the veil in the death chamber, and why?"
,
Is there a complete Star Trek corpus available?,Is there a place on the internet where I could find actual Star Trek episode scripts?
,
Christopher Pike novel- few teens are the only people left on earth,Teen horror book involving a girl and her boyfriend on their way to an abortion being killed by a nightmarish girl with a pitchfork
,
How important were the roles of the Blue Wizards?,Is there any canonical reference to the fate of the Blue Wizards: Alatar and Pallando?
,
"What were Saruman's most despicable deeds, and which is the worst?",Why is breeding men and orcs considered evil?
,
"Looking for an old story: humans become informationally dependent on loaf-of-bread sized robot PIM with arms and a single red ""eye""",Looking for the short story: personal robot assistants sitting on one's shoulder
,
What happens to all the flesh that the walkers eat?,Zombies - Why do they need to feed on living animals/humans?
,
"explorer lands on ""deserted"" planet, accidentally infects and kills local life forms",Short Story About How 2 Astronauts Who Stop for Lunch Unknowingly Destroy the Only Lifeform on an Arid Planet
,
Story about writing a novel already written,Story about plagiarism by means of time machine
,
Why doesn't Castiel get his wings back?,Why are Castiel's wings still broken? Can he now teleport?
,
Story about a man considering leaving an android place-holder while sneaking out on his wife,Man clones himself to have the clone do things he doesn't enjoy
,
Are there Nuclear Weapons in Star Wars universe?,Are nuclear weapons simply non-existent in the Star Wars universe?
,
Story about a teenager who makes a homemade black hole which proves unexpectedly dangerous,Scifi short story with a star in a jar
,
How come Snape and Lily have the same patronus?,"If it wasn't for his love for Lily, would Snape have a Patronus?"
,
Obscure 80s-90s TV series with a spaceship Volkswagen and a giant space baby,"A TV show, from the 90's or 80's, very weird"
,
In which comics did Batman become a murderer or a psychopath?,Has Batman ever gone mad and had to be stopped?
,
Where did the Slytherin house go during the Battle of Hogwarts?,Which Side Did the Slytherins Ultimately Fight For at the Battle of Hogwarts?
,
Looking for old sci-fi book about Dulgari Empire,What novel had an isolationist Earth and the rest of humanity in a war of attrition against aliens?
,
Could Voldemort have killed Harry with Muggle weapons?,Why didn't Voldemort just Kill Harry the old Fashioned way? With a knife or something else?
,
"Landed on a hot and cold planet, short life spans",Short story where time is accelerated and characters have to get back to ship?
,
"What type of spell let Snape and Voldemort fly in ""Harry Potter and the Deathly Hallows""?",Why Can Objects Fly and People (other than Dark Wizards) Can't?
,
How does the wizarding economy work in Harry Potter?,What is the Economic system of the Potterverse?
,
Why didn't the British Ministry of Magic call on their foreign counterparts to help fight in the war against Voldemort?,Is there any hint of of the first Wizarding War being an international event?
,
"Can a wizard/witch do nonverbal, wandless, spells?",Are there any spells that a wizard/witch can cast without a wand in the Harry Potter universe?
,
"Can a wizard/witch do nonverbal, wandless, spells?",Are there any spells that a wizard/witch can cast without a wand in the Harry Potter universe?
,
Why did the White Walkers not kill this person?,Why do White Walkers in Game of Thrones sometimes spare someone?
,
Wasn't the Gray's Sports Almanac supposed to be thicker?,Does Gray's Sports Almanac 1950-2000 actually exist?
,
Looking for old story: Ancient knights charge and take over alien space ship. Conquer aliens by laying siege to cities,Book about aliens arriving in an old country; people capture their spaceship and arrive at alien's planet
,
Novel: kid shoots a rocket down the barrel of a tank!,"Sci-fi book, blue critters than only some people can see, kids fight the critters as they feed off energy and are a threat"
,
How much did McGonagall know about Snape?,What did Professor McGonagall know about the Order of the Phoenix?
,
Have any muggle used an enchanted tool or entered an enchanted place before?,"Can a muggle use magical objects (potion, time-turner, etc)?"
,
Are there any other tools wizards can use as they would a wand?,What objects can be used as wand substitutes?
,
Looking for Analog story: Aliens come to force-field imprisoned earth looking for ally again evil alien empire.,Short story where the Earth has been kept inside a force field for millennia
,
Movie from the 80s about a guy who becomes invincible,What is the name of an 80s TV Movie where a man gains self-healing and endurance powers after a crash with a vehicle containing radioactive material?
,
"Who killed these characters in ""Deathly Hallows""?","In the last Harry Potter book, who kills these two characters?"
,
Why didn't this character from Harry Potter become a ghost?,Why didn't any Death Eaters come back as ghosts?
,
JK Rowling and women's situation in magical society,Have men and women in the Wizarding World always had relatively equal rights?
,
Story about a man bringing nanomachines from the future to save his lover,Short story about a woman that travels to other planets. Read online recently. She just manages to live long enough to embrace new technology
,
Had Professor Trelawney ever predicted something that turned out to be true?,How many of Trelawney's prophecies have come true?
,
"Canonically, who was the third rebel survivor of the Battle of Yavin?",Who was flying the Y-Wing when the Death Star exploded?
,
What are the hexagonal jump point walls?,How does long-distance space travel work in the MCU?
,
Why didn't the Doctor use regeneration energy to heal himself?,Why can’t the Doctor deal with his condition?
,
Why do planets in Star Wars only have one environment?,Why aren't alien planets as varied in climate as the Earth?
,
"YA TV series: Iron Daisy, alien ship in a swamp",What 80s BBC kids’ TV show had children fitting together machinery they found in the countryside?
,
What is the earliest example of enmity between dwarfs and elves?,Why do the dwarves and elves hate each other?
,
Is there any other references about Aragorn being in Moria before?,Do we know anything about Aragorn's first time in Moria?
,
Which muggles are allowed to learn about magic?,How long do you have to wait before the Ministry of Magic will let you disclose you're a witch or wizard without consequence?
,
Sci fi novel where the hero has a knife sheath in his arm,Science-fiction book where the protagonist has a hidden blade inside his body
,
"90s (or earlier) book series: 4 teenagers from different worlds discover they used to be the rulers, and turned themselves young to escape something",Book where characters have powers that get stronger as they get closer to the center of the world
,
Story about astronauts crashing on a planet inhabited by robots,Planet full of robots turn out to be all humans pretending to be robots
,
Why did Tony take off his suit in the Hydra base?,Why did Tony Stark leave his armor to explore the castle in Sokovia?
,
Why bother with the search for Horcruxes?,Why should the Horcruxes be destroyed first?
,
Movie about robots who can get pregnant and motorcycles throwing their drivers in the air,Which movie/TV show has an evil cyborg harvesting eyes from androids in a hidden town?
,
How could Sauron physically acquire the ring?,"Was the ""Eye of Sauron"" Sauron's actual physical form?"
,
How often are Quidditch games won because of the Snitch being caught?,Did any Quidditch games ever end by agreement of the Captains?
,
Was the Sorcerer's Stone already in the Mirror of Erised when the Mirror was moved in the third-floor corridor?,What was guarding the Sorcerer's (Philosopher's) Stone before the mirror of Erised?
,
Horror movie about a family of monsters,Film where boy's parent reveal their alien selves to him
,
Who Started Hogwarts together with Harry Potter?,What are the names of everyone in the four houses in Harry's year?
,
Short dystopian novel about boy who lives on streets,"Story where people inject ""books"" in the back of their necks?"
,
Was Arcanine originally intended to be a Legendary Pokemon?,Why was Arcanine with the Legendary Birds in Veridian City in Pokémon Origins?
,
Movie featuring a De Lorean - NOT Back to the Future,What vintage movie had this blue floating holographic head talking to some kind of military installation?
,
Dungeons and Dragons novel where girl accidentally wishes to be strong,"Female protagonist gets muscles from a spell(scroll?), talking mouth sets her on quest"
,
